numOfTest,numOfNode,averageTime(Matrix),averageTime(List)
100,0,0,0
100,10,0,10
100,20,0,19
100,30,9,40
100,40,29,49
100,50,20,40
100,60,70,79
100,70,70,120
100,80,140,180
100,90,139,160
100,100,160,169
100,110,245,189
100,120,200,89
100,130,299,220
100,140,321,170
100,150,269,250
100,160,330,170
100,170,390,230
100,180,486,182
100,190,509,280
100,200,269,370
100,210,593,219
100,220,679,320
100,230,788,310
100,240,794,375
100,250,923,396
100,260,1020,410
100,270,997,422
100,280,1139,440
100,290,1240,420
100,300,1308,670
100,310,1333,371
100,320,1420,470
100,330,1559,570
100,340,1659,484
100,350,1660,509
100,360,1862,524
100,370,1967,500
100,380,1971,584
100,390,2100,634
100,400,2217,662
100,410,2313,652
100,420,2371,678
100,430,2472,663
100,440,2507,789
100,450,2670,690
100,460,2883,718
100,470,3037,718
100,480,3084,700
100,490,3163,748
100,500,3314,729
100,510,3461,759
100,520,3570,770
100,530,3723,808
100,540,3791,829
100,550,4020,850
100,560,4222,869
100,570,4406,940
100,580,4593,1020
100,590,4583,964
100,600,4734,936
100,610,4955,1004
100,620,5045,965
100,630,5475,1011
100,640,5291,1040
100,650,5565,1009
100,660,5881,1089
100,670,6220,1161
100,680,6431,1160
100,690,6465,1254
100,700,6510,1140
100,710,6645,1099
100,720,6735,1146
100,730,6867,1186
100,740,7111,1149
100,750,6778,1089
100,760,7697,1312
100,770,7740,1250
100,780,8268,1282
100,790,5971,1000
100,800,7645,1299
100,810,8433,1291
100,820,8637,1337
100,830,8946,1371
100,840,9462,1381
100,850,9331,1403
100,860,9588,1330
100,870,9884,1448
100,880,10087,1422
100,890,9892,1423
100,900,10343,1514
100,910,10869,1485
100,920,11072,1629
100,930,11315,1670
100,940,11201,1562
100,950,12367,1722
100,960,12165,1606
100,970,12225,1527
100,980,12622,1700
100,990,11719,1590
100,1000,13518,1913
