numOfTest,numOfNode,averageTime(Matrix),averageTime(List)
100,0,0,0
100,10,20,9
100,20,20,30
100,30,50,10
100,40,70,30
100,50,79,40
100,60,90,70
100,70,150,69
100,80,170,90
100,90,190,120
100,100,220,180
100,110,230,159
100,120,270,170
100,130,330,220
100,140,390,240
100,150,420,210
100,160,550,330
100,170,519,282
100,180,580,250
100,190,611,290
100,200,693,340
100,210,740,360
100,220,800,350
100,230,870,420
100,240,950,320
100,250,1000,420
100,260,1095,449
100,270,1180,399
100,280,1240,480
100,290,1454,576
100,300,1520,580
100,310,1551,465
100,320,1598,510
100,330,1821,429
100,340,1860,540
100,350,1921,561
100,360,2224,685
100,370,2221,650
100,380,2231,680
100,390,2361,668
100,400,2567,710
100,410,2510,730
100,420,2721,755
100,430,2839,690
100,440,2860,689
100,450,3077,868
100,460,3189,729
100,470,3231,887
100,480,3478,810
100,490,3601,909
100,500,3701,895
100,510,3848,934
100,520,4034,916
100,530,4200,994
100,540,4307,955
100,550,4427,1003
100,560,4652,1026
100,570,4731,1040
100,580,5005,1019
100,590,5098,1085
100,600,5275,1095
100,610,5286,1109
100,620,5577,1057
100,630,5758,1138
100,640,5948,1219
100,650,6115,1128
100,660,6293,1129
100,670,6755,1269
100,680,6721,1255
100,690,6437,1273
100,700,7010,1230
100,710,7246,1309
100,720,7402,1281
100,730,7639,1454
100,740,7775,1526
100,750,8006,1433
100,760,7780,1336
100,770,8423,1438
100,780,8514,1541
100,790,8948,1557
100,800,9077,1502
100,810,9312,1524
100,820,9664,1544
100,830,9747,1508
100,840,9866,1580
100,850,10451,1625
100,860,10428,1626
100,870,10973,1750
100,880,11133,1702
100,890,11145,1601
100,900,11395,1693
100,910,11793,1695
100,920,11942,1798
100,930,12004,1739
100,940,12358,1740
100,950,12639,1836
100,960,12909,1678
100,970,13164,1879
100,980,13422,1759
100,990,13604,1901
100,1000,13923,1890
