numOfTest,numOfNode,averageTime(Matrix),averageTime(List)
100,0,0,0
100,10,0,9
100,20,0,0
100,30,29,40
100,40,50,30
100,50,39,90
100,60,89,70
100,70,110,60
100,80,41,160
100,90,130,90
100,100,70,175
100,110,180,160
100,120,149,139
100,130,230,159
100,140,240,189
100,150,380,180
100,160,310,189
100,170,540,209
100,180,460,240
100,190,496,173
100,200,630,329
100,210,620,333
100,220,710,290
100,230,680,379
100,240,739,309
100,250,857,325
100,260,1320,630
100,270,559,149
100,280,650,310
100,290,1088,460
100,300,970,400
100,310,1070,410
100,320,1139,410
100,330,1268,490
100,340,1305,480
100,350,1430,499
100,360,1419,439
100,370,1522,519
100,380,1545,599
100,390,1507,559
100,400,1895,479
100,410,1760,591
100,420,1962,633
100,430,1890,585
100,440,1770,540
100,450,2085,665
100,460,2250,533
100,470,2130,537
100,480,2530,659
100,490,2331,553
100,500,2149,599
100,510,2299,507
100,520,2470,680
100,530,2621,629
100,540,2631,680
100,550,2800,670
100,560,3053,817
100,570,3079,700
100,580,2650,679
100,590,2740,740
100,600,3049,779
100,610,3203,637
100,620,3071,709
100,630,3719,770
100,640,3045,670
100,650,3117,739
100,660,3430,875
100,670,3799,849
100,680,3690,743
100,690,5176,970
100,700,3580,701
100,710,3666,813
100,720,3727,730
100,730,4355,891
100,740,3809,780
100,750,4007,719
100,760,4111,799
100,770,4340,850
100,780,4190,850
100,790,5124,1004
100,800,4244,900
100,810,4455,843
100,820,3332,628
100,830,4480,855
100,840,4491,860
100,850,4687,960
100,860,4611,829
100,870,5335,946
100,880,5163,940
100,890,5080,870
100,900,5756,940
100,910,5290,940
100,920,5691,1090
100,930,5066,890
100,940,5586,994
100,950,5427,950
100,960,5417,905
100,970,6193,1069
100,980,5756,944
100,990,6481,970
100,1000,6914,1077
